capacity_kwh,idle_fuel_fraction,pack_mass_delta_kg,fuel_capacity_cost_kg,discharge_enabling_benefit_kg,charge_ceiling_benefit_kg,gross_operational_benefit_kg,net_fuel_benefit_kg,loiter_endurance_h,endurance_change_h
11.5,0.1,8.0,7.476635514018653,2.5512404077818474,1.3263993316959386,3.877639739477786,-3.5989957745408674,14.903066380082924,-0.28449033586783834
11.75,0.1,9.333333333333329,8.722741433021724,2.5655143984408824,1.5390100221001148,4.104524420540997,-4.618217012480727,14.822428167954046,-0.3651285479967168
12.0,0.1,10.666666666666664,9.968847352024852,2.5791899607838786,1.749188118962138,4.328378079746017,-5.640469272278835,14.741533643422464,-0.4460230725282983
12.25,0.1,11.999999999999993,11.214953271028037,2.5923039596727904,1.957056161832952,4.549360121505742,-6.665593149522294,14.660392145498902,-0.5271645704518608
12.5,0.1,13.333333333333336,12.461059190031051,2.6048902925815582,2.162560480986599,4.767450773568157,-7.693608416462894,14.579012756806472,-0.6085439591442903
12.75,0.1,14.666666666666664,13.707165109034236,2.6169828528958305,2.3657862270524674,4.982769079948298,-8.724396029085938,14.497404311844058,-0.6901524041067049
13.0,0.1,15.999999999999993,14.953271028037364,2.628613683913386,2.5667068503689734,5.195320534282359,-9.757950493755004,14.415575404918185,-0.7719813110325777
13.25,0.1,17.333333333333336,16.199376947040435,2.639803173263772,2.7653976807581557,5.405200854021928,-10.794176093018507,14.333534397761632,-0.8540223181891307
13.5,0.1,18.666666666666664,17.445482866043562,2.650575976260029,2.961848511090693,5.612424487350722,-11.83305837869284,14.25128942685463,-0.9362672890961328
13.75,0.1,19.999999999999993,18.69158878504669,2.6609549451394514,3.156125395873687,5.817080341013138,-12.874508444033552,14.168848410463722,-1.0187083054870403
14.0,0.1,21.333333333333336,19.93769470404976,2.6709612909527323,3.3482146846673686,6.019175975620101,-13.91851872842966,14.086219055412347,-1.101337660538416
14.25,0.1,22.666666666666664,21.18380062305289,2.68061472829811,3.5381947724388283,6.218809500736938,-14.96499112231595,14.003408863595894,-1.1841478523548687
14.5,0.1,23.999999999999993,22.429906542056074,2.689933605027136,3.7260326005084607,6.415966205535597,-16.013940336520477,13.920425138253467,-1.2671315776972953
14.75,0.1,25.333333333333336,23.676012461059088,2.6989350186714773,3.911833910396581,6.610768929068058,-17.06524353199103,13.83727499000796,-1.3502817259428017
15.0,0.1,26.666666666666664,24.922118380062273,2.707634921168392,4.09553083084927,6.803165752017662,-18.11895262804461,13.753965342684548,-1.4335913732662142
15.25,0.1,27.999999999999993,26.1682242990654,2.71604821324388,4.277271084726522,6.993319297970402,-19.174905001095,13.670502938918043,-1.5170537770327197
15.5,0.1,29.333333333333336,27.41433021806847,2.7241888295957324,4.456952875777006,7.181141705372738,-20.233188512695733,13.586894345558328,-1.6006623703924348
15.75,0.1,30.666666666666664,28.6604361370716,2.7320698159500125,4.634732860110944,7.366802676060956,-21.293633461010643,13.503145958882877,-1.6844107570678855
16.0,0.1,31.999999999999993,29.906542056074727,2.739703398831125,4.810529317889632,7.550232716720757,-22.35630933935397,13.41926400962459,-1.7682927063261733
16.25,0.1,33.333333333333336,31.152647975077798,2.747101048884474,4.98444269299614,7.731543741880614,-23.421104233197184,13.335254567822837,-1.8523021481279258
